Designator,Mid X,Mid Y,Rotation,Layer
ANT,110.92929,-117.55514,305.0,top
C1,90.14,-116.18,270.0,top
C10,116.53,-105.84,270.0,top
C11,118.59,-105.83,270.0,top
C12,107.3521,-114.315856,90.0,top
C14,110.76,-104.08,270.0,top
C15,113.51,-95.12,90.0,top
C16,95.86,-83.98,90.0,top
C17,109.98,-107.47,0.0,top
C18,107.675,-101.72,0.0,top
C19,112.0,-95.12,90.0,top
C20,106.68,-100.2,180.0,top
C21,110.429,-95.12,90.0,top
C22,104.77,-83.4075,90.0,top
C23,97.74,-104.07,90.0,top
C24,88.47,-87.45,0.0,top
C25,96.17,-104.09,90.0,top
C26,96.86,-101.59,0.0,top
C28,88.76,-102.79,270.0,top
C29,94.5412,-104.160956,90.0,top
C3,104.65,-117.8,180.0,top
C30,92.7124,-104.160956,90.0,top
C31,88.74,-111.84,270.0,top
C34,113.36,-91.9,270.0,top
C35,93.7414,-101.582356,0.0,top
C38,95.2016,-107.576756,180.0,top
C39,111.83,-92.0,270.0,top
C4,95.159,-113.190156,0.0,top
C40,95.1886,-109.405556,180.0,top
C41,95.1886,-111.335956,180.0,top
C5,100.88,-117.62,270.0,top
C6,112.52,-112.05,90.0,top
C7,108.88,-114.31,90.0,top
C8,112.54,-104.49,270.0,top
C9,114.55,-104.49,270.0,top
D1,109.77,-115.85,55.0,bottom
D2,94.3925,-107.51,0.0,bottom
D3,110.81,-91.8475,90.0,bottom
D4,116.198213,-105.06375,30.0,bottom
D5,94.0625,-103.54,0.0,bottom
H2,103.12,-112.25,0.0,bottom
J1,98.77,-98.22,270.0,bottom
J2,103.82,-109.09,270.0,bottom
J3,111.26,-86.0,90.0,top
J5,92.149697,-90.67,0.0,bottom
J6,107.649697,-90.67,0.0,bottom
J7,101.06,-80.67,90.0,top
J8,88.45,-91.03,180.0,bottom
J9,96.62,-80.17,90.0,top
L1,102.4,-117.61,90.0,top
L2,114.06,-112.03,270.0,top
L3,99.34,-117.62,270.0,top
L4,104.87,-116.27,0.0,top
Q1,81.4925,-106.16,90.0,top
Q2,103.445,-84.05,90.0,bottom
R1,118.46,-94.55,270.0,top
R10,115.11,-95.16,90.0,top
R11,110.31,-92.0,90.0,top
R12,107.32,-104.079044,90.0,top
R13,109.24,-104.08,90.0,top
R14,102.13,-93.78,0.0,top
R15,89.3,-96.93,180.0,top
R16,100.84,-83.39,270.0,top
R17,103.72,-89.85,0.0,top
R18,100.92,-83.475,270.0,bottom
R19,104.81,-81.39,0.0,bottom
R2,100.98,-104.09,90.0,top
R20,84.14,-106.375,90.0,top
R21,98.31,-83.55,180.0,top
R22,103.02,-87.015,180.0,bottom
R25,97.78,-117.81,90.0,top
R26,94.13,-118.68,0.0,top
R27,90.97,-107.35,270.0,bottom
R28,113.4,-92.05,90.0,bottom
R29,113.76,-100.82,90.0,bottom
R3,102.54,-104.09,90.0,top
R30,80.59,-102.33,270.0,top
R31,82.11,-102.34,270.0,top
R32,85.82,-101.37,270.0,top
R33,91.01,-111.28,270.0,top
R34,98.27,-85.86,0.0,bottom
R35,86.99,-107.27,270.0,bottom
R36,90.49,-102.85,270.0,bottom
R37,92.6,-111.46,90.0,top
R4,104.2,-104.09,90.0,top
R5,105.8,-104.09,90.0,top
R6,99.42,-104.08,90.0,top
R7,102.4675,-91.44,0.0,top
R8,116.37,-91.27,90.0,top
R9,114.91,-91.27,90.0,top
SW5,116.01569,-89.849056,235.0,bottom
SW6,116.115144,-110.0275,300.0,bottom
U1,92.9425,-116.15,180.0,top
U12,83.825,-100.29,270.0,bottom
U13,99.83,-91.55,0.0,bottom
U14,92.585428,-115.401261,205.0,bottom
U2,88.4075,-84.91,0.0,top
U3,101.8416,-110.984756,180.0,top
U4,83.8825,-96.825,270.0,top
U5,111.86,-99.36,180.0,top
U6,89.61,-107.5675,180.0,top
U7,102.56,-86.892,0.0,top
U8,96.592,-87.84,90.0,top
X1,109.87,-110.58,270.0,top
